Table 1
CTYNAME,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,STNAME,fips
Rolette County,3,1,3,1,1,4,North Dakota,38079
McKenzie County,4,2,3,1,4,4,North Dakota,38053
Benson County,3,1,3,1,1,4,North Dakota,38005
Ward County,3,1,3,1,1,4,North Dakota,38101
McLean County,4,1,3,1,1,4,North Dakota,38055
Grant County,4,1,3,1,3,4,North Dakota,38037
Richland County,4,1,3,1,1,5,North Dakota,38077
Mercer County,4,1,3,1,1,4,North Dakota,38057
Dunn County,4,1,4,1,3,4,North Dakota,38025
Sioux County,4,2,3,1,3,4,North Dakota,38085
Sargent County,4,2,3,1,1,5,North Dakota,38081
